time,high,low
2023-10-25,45.3,43.85
2023-10-26,42.95,41.6
2023-10-27,41.8,38.7
2023-10-28,,
2023-10-29,,
2023-10-30,41.55,39.75
2023-10-31,41.55,40.45
2023-11-01,40.5,39.45
2023-11-02,41.5,39.65
2023-11-03,42.1,41.25
2023-11-04,,
2023-11-05,,
2023-11-06,42.3,41.65
2023-11-07,42.15,41.25
2023-11-08,43.05,41.6
2023-11-09,45.7,44.0
2023-11-10,45.2,44.4
2023-11-11,,
2023-11-12,,
2023-11-13,45.05,44.45
2023-11-14,45.5,44.5
2023-11-15,45.6,44.9
2023-11-16,45.4,44.85
2023-11-17,45.2,42.15
2023-11-18,,
2023-11-19,,
2023-11-20,42.8,40.9
2023-11-21,43.15,42.05
2023-11-22,43.0,41.85
2023-11-23,42.6,41.3
2023-11-24,41.5,40.6
2023-11-25,,
2023-11-26,,
2023-11-27,42.2,41.3
2023-11-28,42.5,41.6
2023-11-29,42.65,42.3
2023-11-30,42.85,41.75
2023-12-01,42.2,41.85
2023-12-02,,
2023-12-03,,
2023-12-04,43.0,42.1
2023-12-05,43.15,42.6
2023-12-06,43.0,42.5
2023-12-07,43.2,41.9
2023-12-08,43.05,42.55
2023-12-09,,
2023-12-10,,
2023-12-11,44.35,43.25
2023-12-12,44.4,44.0
2023-12-13,44.35,43.2
2023-12-14,44.05,43.45
2023-12-15,43.95,43.05
2023-12-16,,
2023-12-17,,
2023-12-18,43.95,43.05
2023-12-19,43.3,42.3
2023-12-20,43.45,42.85
2023-12-21,43.3,42.8
2023-12-22,43.35,42.75
2023-12-23,,
2023-12-24,,
2023-12-25,43.55,43.0
2023-12-26,43.75,43.35
2023-12-27,43.95,43.6
2023-12-28,44.6,43.6
2023-12-29,44.85,44.45
2023-12-30,,
2023-12-31,,
2024-01-01,,
2024-01-02,44.95,44.0
2024-01-03,44.15,43.5
2024-01-04,44.4,43.8
2024-01-05,44.2,43.9
2024-01-06,,
2024-01-07,,
2024-01-08,44.75,44.1
2024-01-09,44.4,43.9
2024-01-10,44.05,43.2
2024-01-11,44.0,43.4
2024-01-12,43.5,42.7
2024-01-13,,
2024-01-14,,
2024-01-15,43.5,43.05
2024-01-16,43.25,42.85
2024-01-17,43.45,42.95
2024-01-18,43.5,43.0
2024-01-19,43.45,43.15
2024-01-20,,
2024-01-21,,
2024-01-22,43.5,43.15
2024-01-23,43.4,42.9
2024-01-24,43.25,42.9
2024-01-25,43.1,42.8
2024-01-26,43.0,42.65
2024-01-27,,
2024-01-28,,
2024-01-29,42.85,42.4
2024-01-30,42.8,42.5
2024-01-31,42.8,42.1
2024-02-01,42.5,42.05
2024-02-02,42.5,42.05
2024-02-03,,
2024-02-04,,
2024-02-05,42.2,41.8
2024-02-06,42.35,41.9
2024-02-07,42.4,42.0
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,42.8,42.2
2024-02-16,44.15,42.5
2024-02-17,,
2024-02-18,,
2024-02-19,47.0,44.3
2024-02-20,49.35,47.9
2024-02-21,48.55,47.1
2024-02-22,47.7,47.0
2024-02-23,47.95,45.2
2024-02-24,,
2024-02-25,,
2024-02-26,45.75,44.3
2024-02-27,45.65,44.35
2024-02-28,46.4,45.25
2024-02-29,46.15,45.0
2024-03-01,45.6,44.85
2024-03-02,,
2024-03-03,,
2024-03-04,45.75,45.15
2024-03-05,45.5,45.0
2024-03-06,46.85,45.2
2024-03-07,45.85,45.35
2024-03-08,46.0,44.8
2024-03-09,,
2024-03-10,,
2024-03-11,45.25,44.35
2024-03-12,44.6,44.05
2024-03-13,45.0,44.1
2024-03-14,46.85,45.0
2024-03-15,46.0,44.4
2024-03-16,,
2024-03-17,,
2024-03-18,46.2,43.9
2024-03-19,47.3,45.6
2024-03-20,47.0,45.8
2024-03-21,46.85,45.9
2024-03-22,46.7,46.05
2024-03-23,,
2024-03-24,,
2024-03-25,47.4,46.15
2024-03-26,47.2,46.6
2024-03-27,47.3,46.7
2024-03-28,47.95,46.9
2024-03-29,47.9,47.3
2024-03-30,,
2024-03-31,,
2024-04-01,48.1,47.35
2024-04-02,47.9,46.5
2024-04-03,47.85,47.2
2024-04-04,47.95,47.25
2024-04-05,47.95,47.3
2024-04-06,,
2024-04-07,,
2024-04-08,48.0,47.35
2024-04-09,47.7,47.0
2024-04-10,48.65,47.65
2024-04-11,48.55,47.75
2024-04-12,48.7,48.15
2024-04-13,,
2024-04-14,,
2024-04-15,48.2,46.0
2024-04-16,47.0,44.65
2024-04-17,46.5,44.5
2024-04-18,,
2024-04-19,44.0,42.6
2024-04-20,,
2024-04-21,,
2024-04-22,43.0,41.7
2024-04-23,42.45,41.0
2024-04-24,41.95,41.1
2024-04-25,42.35,41.3
2024-04-26,44.45,41.9
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,44.4,43.6
2024-05-03,44.9,44.0
2024-05-04,,
2024-05-05,,
2024-05-06,44.75,43.85
2024-05-07,45.35,44.5
2024-05-08,45.4,44.3
2024-05-09,46.0,45.05
2024-05-10,45.7,44.5
2024-05-11,,
2024-05-12,,
2024-05-13,45.35,44.35
2024-05-14,48.1,46.05
2024-05-15,46.75,46.0
2024-05-16,47.15,46.2
2024-05-17,46.9,46.25
2024-05-18,,
2024-05-19,,
2024-05-20,47.55,46.35
2024-05-21,47.7,46.45
2024-05-22,46.9,45.5
2024-05-23,45.9,44.75
2024-05-24,45.6,44.15
2024-05-25,,
2024-05-26,,
2024-05-27,45.25,44.45
2024-05-28,45.3,44.45
2024-05-29,45.2,44.25
2024-05-30,44.5,43.15
2024-05-31,44.6,43.3
2024-06-01,,
2024-06-02,,
2024-06-03,44.6,43.8
2024-06-04,44.55,44.0
2024-06-05,44.75,44.1
2024-06-06,44.35,43.7
2024-06-07,44.0,43.2
2024-06-08,,
2024-06-09,,
2024-06-10,43.9,43.4
2024-06-11,43.45,42.55
2024-06-12,43.5,42.5
2024-06-13,43.5,42.9
2024-06-14,43.25,42.0
2024-06-15,,
2024-06-16,,
2024-06-17,42.95,42.0
2024-06-18,42.95,42.1
2024-06-19,42.45,41.45
2024-06-20,41.8,41.35
2024-06-21,41.65,41.15
2024-06-22,,
2024-06-23,,
2024-06-24,42.3,41.1
2024-06-25,42.0,41.15
2024-06-26,41.7,41.15
2024-06-27,41.4,41.0
2024-06-28,41.35,40.9
2024-06-29,,
2024-06-30,,
2024-07-01,41.4,41.05
2024-07-02,41.75,41.3
2024-07-03,41.65,41.25
2024-07-04,41.7,41.3
2024-07-05,41.45,41.1
2024-07-06,,
2024-07-07,,
2024-07-08,41.4,40.35
2024-07-09,40.95,40.15
2024-07-10,40.95,40.6
2024-07-11,41.75,40.7
2024-07-12,42.8,41.65
2024-07-13,,
2024-07-14,,
2024-07-15,42.25,41.3
2024-07-16,41.7,40.7
2024-07-17,41.0,40.15
2024-07-18,40.6,40.15
2024-07-19,41.1,40.3
2024-07-20,,
2024-07-21,,
2024-07-22,41.0,40.2
2024-07-23,40.85,40.4
2024-07-24,41.0,40.45
2024-07-25,42.6,40.85
2024-07-26,42.15,41.25
2024-07-27,,
2024-07-28,,
2024-07-29,41.6,40.75
2024-07-30,42.2,41.0
2024-07-31,42.3,41.55
2024-08-01,42.3,41.5
2024-08-02,42.2,40.8
2024-08-03,,
2024-08-04,,
2024-08-05,41.65,40.4
2024-08-06,41.55,40.55
2024-08-07,43.5,41.75
2024-08-08,42.2,41.65
2024-08-09,42.0,41.2
2024-08-10,,
2024-08-11,,
2024-08-12,41.2,40.6
2024-08-13,41.2,40.65
2024-08-14,41.2,40.75
2024-08-15,41.15,40.8
2024-08-16,41.6,40.9
2024-08-17,,
2024-08-18,,
2024-08-19,41.55,41.05
2024-08-20,42.2,41.0
2024-08-21,42.0,41.5
2024-08-22,42.35,41.55
2024-08-23,42.0,41.5
2024-08-24,,
2024-08-25,,
2024-08-26,42.35,41.65
2024-08-27,45.1,42.1
2024-08-28,46.1,44.4
2024-08-29,44.8,44.05
2024-08-30,45.2,44.2
2024-08-31,,
2024-09-01,,
2024-09-02,,
2024-09-03,,
2024-09-04,44.3,43.3
2024-09-05,45.95,44.4
2024-09-06,45.35,44.6
2024-09-07,,
2024-09-08,,
2024-09-09,44.5,43.45
2024-09-10,43.9,42.6
2024-09-11,43.0,42.1
2024-09-12,43.25,42.55
2024-09-13,42.95,42.5
2024-09-14,,
2024-09-15,,
2024-09-16,43.6,42.05
2024-09-17,43.2,42.05
2024-09-18,43.3,42.65
2024-09-19,43.2,42.7
2024-09-20,43.65,42.3
2024-09-21,,
2024-09-22,,
2024-09-23,42.9,42.35
2024-09-24,42.65,42.35
2024-09-25,42.9,42.4
2024-09-26,43.1,42.6
2024-09-27,42.9,42.45
2024-09-28,,
2024-09-29,,
2024-09-30,42.6,42.0
2024-10-01,42.75,42.05
2024-10-02,42.4,42.05
2024-10-03,42.45,41.35
2024-10-04,41.35,40.9
2024-10-05,,
2024-10-06,,
2024-10-07,41.55,40.85
2024-10-08,41.05,40.6
2024-10-09,41.6,41.0
2024-10-10,41.65,41.3
2024-10-11,41.95,41.35
2024-10-12,,
2024-10-13,,
2024-10-14,43.4,42.15
2024-10-15,42.5,41.55
2024-10-16,41.8,41.45
2024-10-17,41.8,41.45
2024-10-18,42.2,41.7
2024-10-19,,
2024-10-20,,
2024-10-21,42.9,41.85
2024-10-22,42.6,42.2
2024-10-23,44.3,42.7
2024-10-24,43.1,42.05
2024-10-25,42.3,41.55
2024-10-26,,
2024-10-27,,
2024-10-28,41.75,41.45
2024-10-29,41.7,41.3
2024-10-30,41.7,40.8
2024-10-31,41.7,41.05
2024-11-01,41.6,41.1
2024-11-02,,
2024-11-03,,
2024-11-04,41.5,41.05
2024-11-05,41.3,41.05
2024-11-06,42.0,41.4
2024-11-07,42.25,41.7
2024-11-08,41.8,41.0
2024-11-09,,
2024-11-10,,
2024-11-11,41.15,40.65
2024-11-12,41.5,40.5
2024-11-13,41.15,40.5
2024-11-14,41.3,40.6
2024-11-15,41.05,40.55
2024-11-16,,
2024-11-17,,
2024-11-18,40.85,40.35
2024-11-19,40.7,40.35
2024-11-20,40.65,40.15
2024-11-21,40.6,40.3
2024-11-22,40.85,40.3
2024-11-23,,
2024-11-24,,
2024-11-25,41.0,40.45
2024-11-26,41.3,41.0
2024-11-27,41.05,40.75
2024-11-28,41.2,40.7
2024-11-29,40.75,40.5
2024-11-30,,
2024-12-01,,
2024-12-02,40.95,40.3
2024-12-03,40.6,40.25
2024-12-04,40.4,39.8
2024-12-05,41.0,40.3
2024-12-06,42.3,40.75
2024-12-07,,
2024-12-08,,
2024-12-09,42.85,41.85
2024-12-10,41.9,41.2
2024-12-11,41.4,40.9
2024-12-12,41.35,40.9
2024-12-13,40.9,40.6
2024-12-14,,
2024-12-15,,
2024-12-16,40.9,40.6
2024-12-17,40.8,40.55
2024-12-18,40.85,40.55
2024-12-19,40.4,40.1
2024-12-20,40.5,40.25
2024-12-21,,
2024-12-22,,
2024-12-23,40.85,40.5
2024-12-24,40.6,40.35
2024-12-25,41.05,40.55
2024-12-26,41.0,40.65
2024-12-27,40.9,40.55
2024-12-28,,
2024-12-29,,
2024-12-30,40.6,40.3
2024-12-31,40.6,40.3
