time,high,low
2023-10-25,15.32,15.13
2023-10-26,15.01,14.16
2023-10-27,14.74,14.11
2023-10-28,,
2023-10-29,,
2023-10-30,14.18,13.63
2023-10-31,13.82,13.19
2023-11-01,13.8,13.31
2023-11-02,14.35,13.82
2023-11-03,15.03,14.33
2023-11-04,,
2023-11-05,,
2023-11-06,15.03,14.69
2023-11-07,15.01,14.77
2023-11-08,15.47,14.64
2023-11-09,15.49,15.18
2023-11-10,15.27,14.89
2023-11-11,,
2023-11-12,,
2023-11-13,15.18,14.86
2023-11-14,15.4,14.98
2023-11-15,15.61,15.27
2023-11-16,15.42,15.27
2023-11-17,15.49,14.89
2023-11-18,,
2023-11-19,,
2023-11-20,15.15,14.77
2023-11-21,15.2,14.93
2023-11-22,15.03,14.86
2023-11-23,15.18,14.74
2023-11-24,14.84,14.28
2023-11-25,,
2023-11-26,,
2023-11-27,14.52,14.21
2023-11-28,14.52,13.97
2023-11-29,14.69,14.35
2023-11-30,14.57,14.3
2023-12-01,14.47,14.23
2023-12-02,,
2023-12-03,,
2023-12-04,14.79,14.45
2023-12-05,14.69,14.5
2023-12-06,14.79,14.55
2023-12-07,15.06,14.69
2023-12-08,15.03,14.84
2023-12-09,,
2023-12-10,,
2023-12-11,15.03,14.86
2023-12-12,15.06,14.91
2023-12-13,15.1,14.79
2023-12-14,14.96,14.81
2023-12-15,14.93,14.74
2023-12-16,,
2023-12-17,,
2023-12-18,14.86,14.57
2023-12-19,14.84,14.45
2023-12-20,14.81,14.62
2023-12-21,14.86,14.62
2023-12-22,14.93,14.77
2023-12-23,,
2023-12-24,,
2023-12-25,15.03,14.84
2023-12-26,15.03,14.91
2023-12-27,15.1,14.96
2023-12-28,15.35,14.98
2023-12-29,15.49,15.27
2023-12-30,,
2023-12-31,,
2024-01-01,,
2024-01-02,15.64,15.42
2024-01-03,15.81,15.44
2024-01-04,16.32,15.78
2024-01-05,16.2,16.0
2024-01-06,,
2024-01-07,,
2024-01-08,16.56,16.17
2024-01-09,16.73,16.39
2024-01-10,16.83,16.61
2024-01-11,16.78,16.39
2024-01-12,16.83,16.27
2024-01-13,,
2024-01-14,,
2024-01-15,16.87,16.63
2024-01-16,16.58,16.39
2024-01-17,16.8,16.49
2024-01-18,16.78,16.51
2024-01-19,17.04,16.73
2024-01-20,,
2024-01-21,,
2024-01-22,17.12,16.83
2024-01-23,17.46,17.17
2024-01-24,17.24,17.09
2024-01-25,17.09,16.92
2024-01-26,17.21,16.97
2024-01-27,,
2024-01-28,,
2024-01-29,17.29,17.07
2024-01-30,17.09,16.83
2024-01-31,17.09,16.68
2024-02-01,16.8,16.49
2024-02-02,16.7,16.49
2024-02-03,,
2024-02-04,,
2024-02-05,17.46,16.68
2024-02-06,17.55,17.26
2024-02-07,18.09,17.36
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,18.89,18.16
2024-02-16,18.77,18.38
2024-02-17,,
2024-02-18,,
2024-02-19,18.94,18.64
2024-02-20,18.91,18.67
2024-02-21,19.08,18.72
2024-02-22,19.57,18.89
2024-02-23,20.54,19.4
2024-02-24,,
2024-02-25,,
2024-02-26,20.12,19.49
2024-02-27,20.34,19.88
2024-02-28,20.54,20.15
2024-02-29,20.58,20.05
2024-03-01,20.29,20.0
2024-03-02,,
2024-03-03,,
2024-03-04,20.46,20.05
2024-03-05,20.46,20.07
2024-03-06,21.09,20.27
2024-03-07,21.0,20.56
2024-03-08,20.66,19.88
2024-03-09,,
2024-03-10,,
2024-03-11,19.98,19.35
2024-03-12,20.03,19.44
2024-03-13,20.37,19.86
2024-03-14,20.41,20.0
2024-03-15,20.2,19.59
2024-03-16,,
2024-03-17,,
2024-03-18,19.98,19.11
2024-03-19,19.59,19.2
2024-03-20,20.58,19.42
2024-03-21,21.87,20.66
2024-03-22,22.06,21.36
2024-03-23,,
2024-03-24,,
2024-03-25,22.5,21.41
2024-03-26,22.4,21.58
2024-03-27,22.4,21.87
2024-03-28,23.61,23.13
2024-03-29,23.35,23.06
2024-03-30,,
2024-03-31,,
2024-04-01,23.13,22.72
2024-04-02,23.28,22.79
2024-04-03,23.25,22.69
2024-04-04,22.67,22.28
2024-04-05,22.26,21.89
2024-04-06,,
2024-04-07,,
2024-04-08,22.23,21.77
2024-04-09,22.21,21.92
2024-04-10,22.69,22.11
2024-04-11,22.14,21.8
2024-04-12,23.01,21.87
2024-04-13,,
2024-04-14,,
2024-04-15,23.01,21.43
2024-04-16,22.06,21.43
2024-04-17,22.11,21.65
2024-04-18,,
2024-04-19,21.65,21.02
2024-04-20,,
2024-04-21,,
2024-04-22,22.16,21.77
2024-04-23,23.03,22.06
2024-04-24,22.81,22.5
2024-04-25,22.79,22.21
2024-04-26,22.74,22.14
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,22.77,22.48
2024-05-03,23.66,22.98
2024-05-04,,
2024-05-05,,
2024-05-06,23.61,23.23
2024-05-07,23.44,23.13
2024-05-08,23.86,22.94
2024-05-09,23.71,23.18
2024-05-10,23.66,23.23
2024-05-11,,
2024-05-12,,
2024-05-13,23.59,23.28
2024-05-14,23.49,23.2
2024-05-15,23.35,23.15
2024-05-16,24.22,23.47
2024-05-17,24.24,24.08
2024-05-18,,
2024-05-19,,
2024-05-20,24.49,24.03
2024-05-21,24.1,23.52
2024-05-22,23.75,23.18
2024-05-23,23.32,22.92
2024-05-24,23.62,22.9
2024-05-25,,
2024-05-26,,
2024-05-27,23.3,23.0
2024-05-28,23.48,23.15
2024-05-29,23.52,23.2
2024-05-30,23.4,22.92
2024-05-31,23.5,23.15
2024-06-01,,
2024-06-02,,
2024-06-03,23.85,23.55
2024-06-04,23.9,23.5
2024-06-05,23.88,23.6
2024-06-06,24.0,23.6
2024-06-07,24.85,24.35
2024-06-08,,
2024-06-09,,
2024-06-10,24.75,24.18
2024-06-11,24.92,24.58
2024-06-12,24.75,24.5
2024-06-13,24.8,24.65
2024-06-14,24.78,24.55
2024-06-15,,
2024-06-16,,
2024-06-17,24.52,24.25
2024-06-18,24.55,24.1
2024-06-19,24.5,24.08
2024-06-20,25.15,24.5
2024-06-21,24.95,24.2
2024-06-22,,
2024-06-23,,
2024-06-24,24.5,23.6
2024-06-25,24.0,23.4
2024-06-26,24.0,23.55
2024-06-27,23.7,23.35
2024-06-28,23.5,22.5
2024-06-29,,
2024-06-30,,
2024-07-01,23.1,22.65
2024-07-02,23.2,22.65
2024-07-03,23.55,22.9
2024-07-04,23.55,23.3
2024-07-05,23.5,23.2
2024-07-06,,
2024-07-07,,
2024-07-08,23.5,23.1
2024-07-09,23.5,23.25
2024-07-10,23.45,23.1
2024-07-11,23.35,22.8
2024-07-12,23.0,22.8
2024-07-13,,
2024-07-14,,
2024-07-15,22.9,22.6
2024-07-16,22.85,22.55
2024-07-17,24.2,22.8
2024-07-18,23.85,23.3
2024-07-19,23.75,23.1
2024-07-20,,
2024-07-21,,
2024-07-22,23.8,23.0
2024-07-23,23.8,23.0
2024-07-24,23.2,22.85
2024-07-25,22.9,22.55
2024-07-26,22.85,22.6
2024-07-27,,
2024-07-28,,
2024-07-29,22.95,22.75
2024-07-30,22.95,22.6
2024-07-31,23.35,22.95
2024-08-01,23.25,22.55
2024-08-02,23.5,22.55
2024-08-03,,
2024-08-04,,
2024-08-05,23.0,22.3
2024-08-06,22.6,22.05
2024-08-07,22.4,21.75
2024-08-08,21.65,20.75
2024-08-09,21.3,21.0
2024-08-10,,
2024-08-11,,
2024-08-12,21.25,21.0
2024-08-13,21.2,20.9
2024-08-14,21.3,20.9
2024-08-15,21.2,20.95
2024-08-16,21.55,21.05
2024-08-17,,
2024-08-18,,
2024-08-19,21.95,21.4
2024-08-20,22.05,21.8
2024-08-21,22.1,21.55
2024-08-22,22.65,22.0
2024-08-23,22.5,22.2
2024-08-24,,
2024-08-25,,
2024-08-26,22.65,22.4
2024-08-27,22.7,22.45
2024-08-28,23.15,22.6
2024-08-29,23.25,23.0
2024-08-30,23.35,23.0
2024-08-31,,
2024-09-01,,
2024-09-02,,
2024-09-03,,
2024-09-04,23.25,22.85
2024-09-05,23.05,22.7
2024-09-06,22.95,22.65
2024-09-07,,
2024-09-08,,
2024-09-09,22.85,22.6
2024-09-10,22.75,22.2
2024-09-11,22.25,21.95
2024-09-12,22.4,22.15
2024-09-13,22.35,22.15
2024-09-14,,
2024-09-15,,
2024-09-16,22.7,22.2
2024-09-17,22.75,22.15
2024-09-18,23.1,22.7
2024-09-19,23.2,22.9
2024-09-20,23.7,23.3
2024-09-21,,
2024-09-22,,
2024-09-23,23.75,23.35
2024-09-24,23.6,23.3
2024-09-25,23.95,23.6
2024-09-26,24.4,23.65
2024-09-27,24.35,24.05
2024-09-28,,
2024-09-29,,
2024-09-30,24.35,23.95
2024-10-01,24.8,24.15
2024-10-02,25.15,24.35
2024-10-03,25.2,24.35
2024-10-04,24.45,24.05
2024-10-05,,
2024-10-06,,
2024-10-07,24.35,24.0
2024-10-08,24.6,24.2
2024-10-09,24.75,24.3
2024-10-10,25.0,24.55
2024-10-11,24.6,24.25
2024-10-12,,
2024-10-13,,
2024-10-14,24.6,24.35
2024-10-15,24.6,24.15
2024-10-16,24.3,24.1
2024-10-17,24.4,24.1
2024-10-18,24.8,24.4
2024-10-19,,
2024-10-20,,
2024-10-21,24.5,24.1
2024-10-22,24.4,24.0
2024-10-23,24.3,23.75
2024-10-24,24.2,23.55
2024-10-25,23.85,23.4
2024-10-26,,
2024-10-27,,
2024-10-28,23.7,23.45
2024-10-29,23.85,23.7
2024-10-30,24.0,23.75
2024-10-31,24.1,23.85
2024-11-01,24.0,23.7
2024-11-02,,
2024-11-03,,
2024-11-04,23.75,23.4
2024-11-05,23.65,23.45
2024-11-06,24.05,23.6
2024-11-07,24.15,23.85
2024-11-08,24.0,23.45
2024-11-09,,
2024-11-10,,
2024-11-11,23.7,23.05
2024-11-12,23.4,22.9
2024-11-13,23.15,22.7
2024-11-14,23.05,22.75
2024-11-15,22.8,22.4
2024-11-16,,
2024-11-17,,
2024-11-18,22.7,22.2
2024-11-19,22.55,22.2
2024-11-20,22.85,22.25
2024-11-21,23.2,22.6
2024-11-22,23.55,23.15
2024-11-23,,
2024-11-24,,
2024-11-25,23.6,23.4
2024-11-26,23.7,23.45
2024-11-27,23.6,23.35
2024-11-28,23.7,23.4
2024-11-29,23.6,23.35
2024-11-30,,
2024-12-01,,
2024-12-02,23.7,23.4
2024-12-03,23.75,23.45
2024-12-04,23.6,23.4
2024-12-05,24.2,23.35
2024-12-06,24.25,23.95
2024-12-07,,
2024-12-08,,
2024-12-09,24.3,23.95
2024-12-10,24.2,24.0
2024-12-11,24.3,24.0
2024-12-12,24.5,24.15
2024-12-13,24.55,24.1
2024-12-14,,
2024-12-15,,
2024-12-16,24.4,24.1
2024-12-17,24.4,24.15
2024-12-18,24.3,24.1
2024-12-19,24.05,23.75
2024-12-20,23.95,23.8
2024-12-21,,
2024-12-22,,
2024-12-23,24.05,23.8
2024-12-24,24.05,23.8
2024-12-25,24.9,23.95
2024-12-26,24.55,24.3
2024-12-27,24.9,24.45
2024-12-28,,
2024-12-29,,
2024-12-30,24.75,24.35
2024-12-31,24.65,24.35
